ISO,FIPS,DHSCC,SVYTYPE,SVYYEAR,CNTRYNAMEE,CNTRYNAMEF,CNTRYNAMES,DHSREGEN,DHSREGFR,DHSREGSP,SVYID,REG_ID,Svy_Map,MULTLEVEL,LEVELRNK,REGVAR,REGCODE,REGNAME,OTHREGVAR,OTHREGCO,OTHREGNA,LEVELCO,LEVELNA,REPALLIND,REGNOTES,SVYNOTES
IN,IN,IA,DHS,2020.00000000000,India,,,Kolkata,,,541.00000000000,,yes,yes,2.00000000000,shdist,342.00000000000,Kolkata,hv024,19.00000000000,West Bengal,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Kupwara,,,541.00000000000,,yes,yes,2.00000000000,shdist,1.00000000000,Kupwara,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Badgam,,,541.00000000000,,yes,yes,2.00000000000,shdist,2.00000000000,Badgam,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Leh,,,541.00000000000,,yes,yes,2.00000000000,shdist,3.00000000000,Leh,hv024,37.00000000000,Ladakh,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Kargil,,,541.00000000000,,yes,yes,2.00000000000,shdist,4.00000000000,Kargil,hv024,37.00000000000,Ladakh,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Punch,,,541.00000000000,,yes,yes,2.00000000000,shdist,5.00000000000,Punch,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Rajouri,,,541.00000000000,,yes,yes,2.00000000000,shdist,6.00000000000,Rajouri,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Kathua,,,541.00000000000,,yes,yes,2.00000000000,shdist,7.00000000000,Kathua,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Baramula,,,541.00000000000,,yes,yes,2.00000000000,shdist,8.00000000000,Baramula,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Bandipore,,,541.00000000000,,yes,yes,2.00000000000,shdist,9.00000000000,Bandipore,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Srinagar,,,541.00000000000,,yes,yes,2.00000000000,shdist,10.00000000000,Srinagar,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Ganderbal,,,541.00000000000,,yes,yes,2.00000000000,shdist,11.00000000000,Ganderbal,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Pulwama,,,541.00000000000,,yes,yes,2.00000000000,shdist,12.00000000000,Pulwama,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Shupiyan,,,541.00000000000,,yes,yes,2.00000000000,shdist,13.00000000000,Shupiyan,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Anantnag,,,541.00000000000,,yes,yes,2.00000000000,shdist,14.00000000000,Anantnag,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Kulgam,,,541.00000000000,,yes,yes,2.00000000000,shdist,15.00000000000,Kulgam,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Doda,,,541.00000000000,,yes,yes,2.00000000000,shdist,16.00000000000,Doda,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Ramban,,,541.00000000000,,yes,yes,2.00000000000,shdist,17.00000000000,Ramban,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Kishtwar,,,541.00000000000,,yes,yes,2.00000000000,shdist,18.00000000000,Kishtwar,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Udhampur,,,541.00000000000,,yes,yes,2.00000000000,shdist,19.00000000000,Udhampur,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Reasi,,,541.00000000000,,yes,yes,2.00000000000,shdist,20.00000000000,Reasi,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Jammu,,,541.00000000000,,yes,yes,2.00000000000,shdist,21.00000000000,Jammu,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Samba,,,541.00000000000,,yes,yes,2.00000000000,shdist,22.00000000000,Samba,hv024,1.00000000000,Jammu & Kashmir,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Chamba,,,541.00000000000,,yes,yes,2.00000000000,shdist,23.00000000000,Chamba,hv024,2.00000000000,Himachal Pradesh,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Kangra,,,541.00000000000,,yes,yes,2.00000000000,shdist,24.00000000000,Kangra,hv024,2.00000000000,Himachal Pradesh,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
IN,IN,IA,DHS,2020.00000000000,India,,,Lahul & Spiti,,,541.00000000000,,yes,yes,2.00000000000,shdist,25.00000000000,Lahul & Spiti,hv024,2.00000000000,Himachal Pradesh,Admin2,Districts,yes,,Survey is representative at 2 levels: 36 Admin1 areas (states and union territories) and 707 Admin2 areas (districts)
